symbol	location	cluster	Degree
MoCA	CLINICAL	2	564
UPDRS-motor	CLINICAL	2	551
HB	CLINICAL	2	232
HCT	CLINICAL	2	459
RBC	CLINICAL	2	200
WBC	CLINICAL	2	512
Platelet	CLINICAL	2	166
Neutrophil%	CLINICAL	2	385
Lymphocyte%	CLINICAL	2	917
Monocyte%	CLINICAL	2	883
Eosinophil%	CLINICAL	2	128
Basophil%	CLINICAL	2	87
Neutrophil. Absolute	CLINICAL	2	405
Lymphocyte. Absolute	CLINICAL	2	246
Monocyte. Absolute	CLINICAL	2	160
Eosinophil. Absolute	CLINICAL	2	140
Basophil. Absolute	CLINICAL	2	102
Sodium	CLINICAL	2	157
Potassium	CLINICAL	2	106
Creatinine	CLINICAL	2	167
Urea (BUN)	CLINICAL	2	424
Uric Acid	CLINICAL	2	129
ALT	CLINICAL	2	161
AST	CLINICAL	2	119
ALP	CLINICAL	2	74
GGT	CLINICAL	2	132
Total Bilirubin	CLINICAL	2	672
Albumin	CLINICAL	2	278
Creatine Kinase (CK)	CLINICAL	2	69
Total cholesterol	CLINICAL	0	502
HDL	CLINICAL	2	111
LDL	CLINICAL	2	434
Triglycerides	CLINICAL	0	741
Glucose	CLINICAL	2	138
Insulin	CLINICAL	2	238
HbA1c	CLINICAL	2	241
TSH	CLINICAL	2	127
Diastolik kan basıncı	CLINICAL	2	205
Sistolik Kan Basıncı	CLINICAL	2	366
Nabız	CLINICAL	2	267
Bel Çevresi	CLINICAL	2	128
Kalça Çevresi	CLINICAL	2	136
Weight	CLINICAL	2	195
Height	CLINICAL	2	200
BMI	CLINICAL	2	170
AARSD1	PROTEIN	1	1759
ABHD14B	PROTEIN	1	1861
ABL1	PROTEIN	1	1978
ACAN	PROTEIN	1	1884
ACE2	PROTEIN	1	1936
ACP5	PROTEIN	1	1869
ACP6	PROTEIN	1	2036
ACTA2	PROTEIN	1	1886
ACVRL1	PROTEIN	1	1933
ACY1	PROTEIN	1	1877
ADA	PROTEIN	1	1820
ADA2	PROTEIN	1	1914
ADAM15	PROTEIN	1	1757
ADAM22	PROTEIN	1	1971
ADAM23	PROTEIN	1	1995
ADAM8	PROTEIN	1	1842
ADAMTS13	PROTEIN	1	1800
ADAMTS15	PROTEIN	1	1934
ADAMTS16	PROTEIN	1	1895
ADAMTS8	PROTEIN	1	1843
ADGRB3	PROTEIN	1	1882
ADGRE2	PROTEIN	1	1856
ADGRG1	PROTEIN	0	1796
ADGRG2	PROTEIN	1	1845
ADH4	PROTEIN	1	1757
ADM	PROTEIN	1	1956
AFP	PROTEIN	1	1856
AGER	PROTEIN	1	1912
AGRN	PROTEIN	1	1944
AGRP	PROTEIN	1	1939
AHSP	PROTEIN	1	1752
AKR1B1	PROTEIN	1	1884
AKT1S1	PROTEIN	1	1838
ALCAM	PROTEIN	1	1888
ALDH1A1	PROTEIN	1	1730
ALDH3A1	PROTEIN	1	1817
ALPP	PROTEIN	1	1863
AMBN	PROTEIN	1	1866
AMBP	PROTEIN	1	1985
AMIGO2	PROTEIN	1	1912
AMY2A	PROTEIN	1	1904
AMY2B	PROTEIN	1	1900
ANG	PROTEIN	1	1949
ANGPT1	PROTEIN	1	1799
ANGPT2	PROTEIN	1	1970
ANGPTL1	PROTEIN	1	1880
ANGPTL2	PROTEIN	1	1935
ANGPTL3	PROTEIN	1	1885
ANGPTL4	PROTEIN	1	1932
ANGPTL7	PROTEIN	1	1897
ANPEP	PROTEIN	1	1916
ANXA3	PROTEIN	1	1909
AOC3	PROTEIN	1	1977
APBB1IP	PROTEIN	1	1936
APEX1	PROTEIN	1	1865
APLP1	PROTEIN	1	1923
APOH	PROTEIN	1	1908
APOM	PROTEIN	1	1928
APP	PROTEIN	1	1853
APRT	PROTEIN	1	1897
AREG	PROTEIN	1	1929
ARG1	PROTEIN	1	1707
ARHGAP25	PROTEIN	1	1880
ARHGEF12	PROTEIN	1	1955
ARSA	PROTEIN	1	1935
ARSB	PROTEIN	1	1848
ART3	PROTEIN	1	1899
ASAH2	PROTEIN	1	1887
ASGR1	PROTEIN	1	2038
ATG4A	PROTEIN	1	1800
ATOX1	PROTEIN	1	1942
ATP5IF1	PROTEIN	1	1979
AXL	PROTEIN	1	1881
AZU1	PROTEIN	1	1839
B4GALT1	PROTEIN	1	1920
B4GAT1	PROTEIN	1	1897
BAG3	PROTEIN	1	1947
BAG6	PROTEIN	1	1918
BAIAP2	PROTEIN	1	1906
BANK1	PROTEIN	1	1953
BAX	PROTEIN	1	1930
BCAM	PROTEIN	1	1889
BCAN	PROTEIN	1	1815
BCL2L11	PROTEIN	1	1954
BCR	PROTEIN	1	1959
BGN	PROTEIN	1	1893
BLMH	PROTEIN	1	1830
BLVRB	PROTEIN	0	1723
BMP4	PROTEIN	1	1955
BMP6	PROTEIN	1	1902
BOC	PROTEIN	1	1908
BPIFB1	PROTEIN	0	1882
BRK1	PROTEIN	1	1964
BSG	PROTEIN	1	1977
BST1	PROTEIN	1	1836
BST2	PROTEIN	1	1959
BTN2A1	PROTEIN	1	1930
BTN3A2	PROTEIN	1	1936
C1QA	PROTEIN	1	1936
C1QTNF1	PROTEIN	1	1933
C2	PROTEIN	1	1949
C2CD2L	PROTEIN	1	1923
C4BPB	PROTEIN	1	1894
CA1	PROTEIN	1	1670
CA11	PROTEIN	1	1852
CA12	PROTEIN	1	1922
CA13	PROTEIN	1	1968
CA14	PROTEIN	1	1920
CA2	PROTEIN	1	1695
CA3	PROTEIN	0	1709
CA4	PROTEIN	1	1901
CA5A	PROTEIN	1	1781
CA6	PROTEIN	1	1861
CA9	PROTEIN	1	1958
CALB1	PROTEIN	1	1938
CALB2	PROTEIN	1	1958
CALCA	PROTEIN	1	1867
CALCOCO1	PROTEIN	1	1974
CANT1	PROTEIN	1	1925
CAPG	PROTEIN	1	1953
CARHSP1	PROTEIN	1	1718
CASC4	PROTEIN	1	1880
CASP3	PROTEIN	1	1910
CASP8	PROTEIN	1	1872
CBLIF	PROTEIN	1	1959
CBLN4	PROTEIN	1	1894
CC2D1A	PROTEIN	1	1917
CCDC80	PROTEIN	1	1913
CCL11	PROTEIN	1	1929
CCL13	PROTEIN	1	1798
CCL14	PROTEIN	1	1933
CCL15	PROTEIN	1	1940
CCL16	PROTEIN	1	1945
CCL17	PROTEIN	1	1851
CCL18	PROTEIN	1	1927
CCL19	PROTEIN	1	1782
CCL2	PROTEIN	1	1865
CCL20	PROTEIN	1	2000
CCL21	PROTEIN	1	1850
CCL22	PROTEIN	1	1920
CCL23	PROTEIN	1	1933
CCL24	PROTEIN	1	1804
CCL25	PROTEIN	1	1969
CCL26	PROTEIN	1	1819
CCL27	PROTEIN	1	1948
CCL28	PROTEIN	1	1890
CCL3	PROTEIN	1	1941
CCL4	PROTEIN	1	1865
CCL5	PROTEIN	1	1856
CCL7	PROTEIN	0	1833
CCL8	PROTEIN	1	1870
CCN1	PROTEIN	1	1894
CCN2	PROTEIN	1	1827
CCN3	PROTEIN	1	1873
CCS	PROTEIN	1	1757
CD109	PROTEIN	1	1896
CD14	PROTEIN	1	1910
CD160	PROTEIN	1	1911
CD163	PROTEIN	1	1850
CD1C	PROTEIN	1	1828
CD200	PROTEIN	1	1932
CD200R1	PROTEIN	1	1847
CD209	PROTEIN	1	1944
CD22	PROTEIN	1	1834
CD244	PROTEIN	1	1944
CD27	PROTEIN	1	1952
CD274	PROTEIN	1	1959
CD276	PROTEIN	0	1834
CD28	PROTEIN	1	1921
CD2AP	PROTEIN	1	1816
CD300C	PROTEIN	1	1950
CD300E	PROTEIN	1	1953
CD300LF	PROTEIN	1	1960
CD300LG	PROTEIN	1	1924
CD302	PROTEIN	1	1977
CD34	PROTEIN	1	1908
CD38	PROTEIN	1	1972
CD4	PROTEIN	1	1940
CD40	PROTEIN	1	1945
CD40LG	PROTEIN	1	1978
CD46	PROTEIN	1	1944
CD48	PROTEIN	1	1896
CD5	PROTEIN	1	1952
CD55	PROTEIN	1	1929
CD58	PROTEIN	1	1862
CD59	PROTEIN	1	1938
CD6	PROTEIN	1	1928
CD63	PROTEIN	1	1937
CD69	PROTEIN	1	1980
CD70	PROTEIN	1	1873
CD74	PROTEIN	1	1919
CD79B	PROTEIN	1	1925
CD83	PROTEIN	1	1949
CD84	PROTEIN	1	1912
CD8A	PROTEIN	1	1886
CD93	PROTEIN	1	1942
CD97	PROTEIN	1	1885
CD99	PROTEIN	1	1923
CD99L2	PROTEIN	1	1886
CDCP1	PROTEIN	1	1861
CDH1	PROTEIN	1	1978
CDH17	PROTEIN	1	1963
CDH2	PROTEIN	1	1983
CDH3	PROTEIN	1	1943
CDH5	PROTEIN	1	1893
CDHR2	PROTEIN	1	1912
CDHR5	PROTEIN	1	1975
CDNF	PROTEIN	1	1959
CDON	PROTEIN	1	1883
CDSN	PROTEIN	1	1966
CEACAM1	PROTEIN	1	1883
CEACAM21	PROTEIN	1	1907
CEACAM8	PROTEIN	1	1849
CELA3A	PROTEIN	1	1918
CES1	PROTEIN	1	1771
CES2	PROTEIN	1	1845
CES3	PROTEIN	1	1884
CFC1	PROTEIN	1	1895
CGA	PROTEIN	1	1875
CGREF1	PROTEIN	1	1951
CHGB	PROTEIN	1	1920
CHI3L1	PROTEIN	1	1879
CHIT1	PROTEIN	1	1830
CHL1	PROTEIN	1	1816
CHRDL1	PROTEIN	1	1924
CHRDL2	PROTEIN	1	1837
CIAPIN1	PROTEIN	1	1890
CKAP4	PROTEIN	1	1962
CKMT1A_CKMT1B	PROTEIN	1	1864
CLEC10A	PROTEIN	1	1980
CLEC11A	PROTEIN	1	1849
CLEC14A	PROTEIN	1	1978
CLEC1A	PROTEIN	1	1966
CLEC1B	PROTEIN	1	1946
CLEC4A	PROTEIN	1	1868
CLEC4C	PROTEIN	1	1948
CLEC4D	PROTEIN	1	1879
CLEC4G	PROTEIN	1	1905
CLEC5A	PROTEIN	1	1884
CLEC6A	PROTEIN	1	1878
CLEC7A	PROTEIN	1	1942
CLMP	PROTEIN	1	1966
CLPP	PROTEIN	1	1956
CLPS	PROTEIN	1	1902
CLSTN2	PROTEIN	1	1895
CLUL1	PROTEIN	1	1838
CNDP1	PROTEIN	1	1867
