Analytes	Cluster	Degree
N-formylmethionine	2	1590
4-acetamidobutanoate	2	1578
N-acetylglucosamine/N-acetylgalactosamine	2	1564
N-acetylmethionine	2	1477
indoleacetate	0	1476
N-acetylserine	2	1472
xanthosine	2	1428
methyl indole-3-acetate	2	1426
3-hydroxyoctanoate	0	1407
11-ketoetiocholanolone glucuronide	0	1405
vanillactate	2	1401
"2,3-dihydroxy-2-methylbutyrate"	2	1389
N-acetylglutamate	2	1374
11beta-hydroxyetiocholanolone glucuronide*	0	1371
indole-3-carboxylate	2	1352
N-acetylglutamine	2	1343
3-hydroxy-2-ethylpropionate	1	1341
N6-succinyladenosine	2	1333
indoleacetylglutamine	2	1332
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	1	1323
3-methyladipate	2	1320
N-acetylhistidine	2	1318
malate	2	1314
ACTA2	0	1308
IGFBP1	0	1307
SPINK4	0	1306
phenylacetylglutamate	0	1306
SELPLG	0	1304
"N2,N5-diacetylornithine"	2	1303
3-hydroxyphenylacetoylglutamine	2	1301
GPR37	0	1298
LGALS7_LGALS7B	0	1298
PLA2G10	0	1298
CLEC4D	0	1297
phenylacetylglutamine	0	1297
CALB1	0	1295
CDSN	0	1294
TAFA5	0	1294
"N,N-dimethyl-pro-pro"	2	1293
GFRA1	0	1292
3-ureidopropionate	0	1291
LAYN	0	1290
WISP1	0	1290
ADAMTS16	0	1289
SCG2	0	1289
SNCG	0	1289
EFNA4	0	1287
KLK4	0	1287
TNFRSF6B	0	1286
ADGRB3	0	1285
erucoylcarnitine (C22:1)*	1	1285
AGRP	0	1284
TNFRSF9	0	1284
CLSTN2	0	1283
SCARB2	0	1283
p-cresol sulfate	0	1283
mannose	0	1282
KLRB1	0	1281
POLR2F	0	1281
CD302	0	1280
CRNN	0	1280
MOG	0	1280
PRDX6	0	1280
TNFRSF10B	0	1280
PLA2G1B	0	1279
VEGFA	0	1278
CD160	0	1277
CRIP2	0	1277
TGFA	0	1277
CA12	0	1276
EPHA2	0	1276
PTPRN2	0	1276
ACVRL1	0	1275
AREG	0	1275
BSG	0	1275
NPPC	0	1275
TNFRSF19	0	1275
CA14	0	1274
CCL25	0	1274
DTX3	0	1274
EDA2R	0	1274
HSPB6	0	1274
LSP1	0	1274
REG1B	0	1274
CD5	0	1273
CXADR	0	1273
F3	0	1273
NPY	0	1273
OGN	0	1273
PRSS2	0	1272
CX3CL1	0	1271
LEFTY2	0	1271
EBI3_IL27	0	1270
KLK13	0	1270
REG1A	0	1270
AMBP	0	1269
ARG1	0	1269
PROK1	0	1269
TNF	0	1269
BTN3A2	0	1268
CLMP	0	1268
TNFRSF11A	0	1268
CA5A	0	1267
FAM3B	0	1267
IGSF8	0	1267
IL17D	0	1267
RSPO3	0	1267
methyl-4-hydroxybenzoate sulfate	1	1267
EPHB6	0	1266
PLTP	0	1266
VEGFD	0	1266
VWC2	0	1266
GGT5	0	1265
IGFBP2	0	1265
NCAN	0	1265
NECTIN2	0	1265
PRSS27	0	1265
RTBDN	0	1265
ADM	0	1264
AMBN	0	1264
ASGR1	0	1264
CCL23	0	1264
DCN	0	1264
DRAXIN	0	1264
GFAP	0	1264
HNMT	0	1264
LTBP2	0	1264
ADAM22	0	1263
EGLN1	0	1263
LGALS4	0	1263
NPDC1	0	1263
PIK3IP1	0	1263
REG3A	0	1263
SERPINB8	0	1263
XG	0	1263
ESAM	0	1262
OBP2B	0	1262
PI3	0	1262
1H-indole-7-acetic acid	0	1262
CCL3	0	1261
CD207	0	1261
HLA-E	0	1261
MSLN	0	1261
ZBTB17	0	1261
APOM	0	1260
CTSS	0	1260
FLRT2	0	1260
CTRB1	0	1259
KLRD1	0	1259
MATN3	0	1259
TFF3	0	1259
CA9	0	1258
CCN3	0	1258
CDH3	0	1257
KIR2DL3	0	1257
NECTIN4	0	1257
PDGFRA	0	1257
PHOSPHO1	0	1257
SPINK1	0	1257
CA2	0	1256
CKAP4	0	1256
GFRA3	0	1256
IL19	0	1256
IL4R	0	1256
RTN4R	0	1256
ANGPTL4	0	1255
CD38	0	1255
PRELP	0	1255
PTX3	0	1255
SCG3	0	1255
SPINK5	0	1255
TNFRSF4	0	1255
ACAN	0	1254
CCL14	0	1254
LILRB4	0	1254
PARP1	0	1254
SCARA5	0	1254
UBAC1	0	1254
CD6	0	1253
HAVCR1	0	1253
IGFBP6	0	1253
LXN	0	1253
2-keto-3-deoxy-gluconate	2	1253
N-carbamoylvaline	2	1253
CD276	0	1252
CLEC1A	0	1252
CPA1	0	1252
IL17C	0	1252
KLK11	0	1252
KRT19	0	1252
NCS1	0	1252
PGF	0	1252
SLITRK6	0	1252
TFF1	0	1252
TFRC	0	1252
CLEC10A	0	1251
CST6	0	1251
CXCL8	0	1251
EFNA1	0	1251
HAGH	0	1251
JAM2	0	1251
MLN	0	1251
RBP2	0	1251
S100P	0	1251
TNFRSF10A	0	1251
C1QA	0	1250
CLPS	0	1250
COLEC12	0	1250
DPT	0	1250
DSG3	0	1250
FAM3C	0	1250
GLO1	0	1250
LAG3	0	1250
LIFR	0	1250
SH2D1A	0	1250
SMOC2	0	1250
TNFRSF12A	0	1250
AMY2A	0	1249
BST2	0	1249
CD300E	0	1249
CRTAM	0	1249
DKK3	0	1249
IL17RB	0	1249
CD300LG	0	1248
FAS	0	1248
IDS	0	1248
LTBR	0	1248
OSM	0	1248
AMY2B	0	1247
CCDC80	0	1247
CGREF1	0	1247
FGF5	0	1247
FKBP4	0	1247
HMBS	0	1247
MIA	0	1247
PON3	0	1247
SERPINA12	0	1247
ADGRG1	0	1246
BLVRB	0	1246
CST3	0	1246
CXCL6	0	1246
GUCA2A	0	1246
PTGDS	0	1246
SIGLEC10	0	1246
TNFRSF14	0	1246
TNFRSF1A	0	1246
ULBP2	0	1246
AARSD1	0	1245
GFRA2	0	1245
IGF1R	0	1245
PAG1	0	1245
PKLR	0	1245
RETN	0	1245
DDAH1	0	1244
DKK4	0	1244
HSPG2	0	1244
IGFBP4	0	1244
MERTK	0	1244
PSIP1	0	1244
SORCS2	0	1244
BTN2A1	0	1243
CST5	0	1243
GLRX	0	1243
HS3ST3B1	0	1243
SPON2	0	1243
ACP6	0	1242
ANGPTL7	0	1242
CD59	0	1242
CES2	0	1242
DPP10	0	1242
EPHB4	0	1242
F2R	0	1242
FCRL6	0	1242
GZMH	0	1242
KYAT1	0	1242
MCFD2	0	1242
TACSTD2	0	1242
VSIG4	0	1242
ADAMTS13	0	1241
ANGPTL1	0	1241
BCAN	0	1241
CHGB	0	1241
CNTN5	0	1241
CNTNAP2	0	1241
INPP1	0	1241
LRP11	0	1241
SCARF2	0	1241
WFIKKN2	0	1241
ABL1	0	1240
CLC	0	1240
CPB1	0	1240
EPS8L2	0	1240
FGFBP1	0	1240
GLOD4	0	1240
LRP1	0	1240
MUC13	0	1240
TINAGL1	0	1240
UXS1	0	1240
BOC	0	1239
COL6A3	0	1239
EPHA1	0	1239
IFNLR1	0	1239
MSMB	0	1239
REG4	0	1239
SCGB1A1	0	1239
SEZ6L2	0	1239
SMOC1	0	1239
ADGRG2	0	1238
ART3	0	1238
COL18A1	0	1238
GAL	0	1238
